Business Unit	Account	Key3	Key4	Key5	Key6	Key7	Key8	Key9	Key10	Descr	Acct Ref	Financial Statement	Account Type	Active Account	Activity in Period	Alt Cur	Account Currency	Period End Date	GL Reporting Bal	GL Alt Bal	GL Account Balance
AAG	01000									Cash - Main Concentration		A	Asset	TRUE	TRUE		USD	09/30/2016			-98377.68
AAG	01290									Bank Of America Overdraft Recl		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
AAG	02000									Notes Receivable - QX		A	Asset	TRUE	TRUE		USD	09/30/2016			7624407.98
AAG	02020									Income Tax Received QX		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
AAG	02030									Current Year Tax Due From As		A	Asset	TRUE	FALSE		USD	09/30/2016			971177468.29
AAG	02040									Intercompany Clearing AP Syste		A	Asset	TRUE	TRUE		USD	09/30/2016			-130130652.17
AAG	02050									Receivable From AAG		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
AAG	02085									Receivable Alpine Merger Corp		A	Asset	TRUE	FALSE		USD	09/30/2016			40380.00
AAG	02090									Interest Receivable AS		A	Asset	TRUE	FALSE		USD	09/30/2016			1572755.37
AAG	02100									Receivable from QX - Intercomp		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
AAG	02170									A/R - ASA		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
AAG	02870									A/R - Cad GST Tax Refundable		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
AAG	02880									Due From State		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
AAG	02885									Due From Federal Government		A	Asset	TRUE	FALSE		USD	09/30/2016			2925873.00
AAG	04230									Ppd  Insurance - Genl Liab		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
AAG	04690									Directors/Officer Insurance		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
AAG	05450									Construction In Progress		A	Asset	TRUE	FALSE		USD	09/30/2016			59391.25
AAG	09000									Deposits - Misc		A	Asset	TRUE	FALSE		USD	09/30/2016			6188.00
AAG	09800									Investment Acquisition-ASA		A	Asset	TRUE	FALSE		USD	09/30/2016			414553808.74
AAG	09810									Investment Earnings-ASA		A	Asset	TRUE	TRUE		USD	09/30/2016			3949235635.81
AAG	09820									Investment Acquisition-QX		A	Asset	TRUE	FALSE		USD	09/30/2016			102860670.48
AAG	09830									Investment Earnings-QX		A	Asset	TRUE	TRUE		USD	09/30/2016			88054491.28
AAG	09835									Investment Earnings-AMC		A	Asset	TRUE	FALSE		USD	09/30/2016			-22710973.94
AAG	09840									Investment Acquisition-AGL		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
AAG	09845									Investment Acquisition-AAI		A	Asset	TRUE	FALSE		USD	09/30/2016			3885000.00
AAG	09850									Investment Earnings-AGL		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
AAG	09855									Investment Earnings-AAI		A	Asset	TRUE	FALSE		USD	09/30/2016			215178.00
AAG	09860									Investment Acquisition-AGF		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
AAG	09880									Investment Acquisition-Jet Amr		A	Asset	FALSE	FALSE		USD	09/30/2016			33902760.92
AAG	09890									Investment Earnings-Jet Amr		A	Asset	TRUE	FALSE		USD	09/30/2016			-10308000.00
AAG	10070									Notes Payable to ASA		A	Liability	TRUE	TRUE		USD	09/30/2016			-2643362479.62
AAG	10160									Payable To ASA		A	Liability	FALSE	FALSE		USD	09/30/2016			0.00
AAG	10170									Payable to AGL		A	Liability	FALSE	FALSE		USD	09/30/2016			0.00
AAG	10180									Payable to AAG		A	Liability	FALSE	FALSE		USD	09/30/2016			0.00
AAG	11020									Vouchers Payable - PeopleSoft		A	Liability	TRUE	TRUE		USD	09/30/2016			-4240.02
AAG	11105									ESPP Accrued Liability		A	Liability	TRUE	TRUE		USD	09/30/2016			-645351.32
AAG	11250									Misc Current Liabilities		A	Liability	TRUE	FALSE		USD	09/30/2016			-16500.00
AAG	11260									Misc A/P Accruals		A	Liability	TRUE	FALSE		USD	09/30/2016			0.00
AAG	11600									Delaware Tax Accrual		A	Liability	TRUE	TRUE		USD	09/30/2016			-27260.78
AAG	11610									Legal Fee Accrual		A	Liability	TRUE	FALSE		USD	09/30/2016			0.00
AAG	11900									Cash Overdraft		A	Liability	TRUE	TRUE		USD	09/30/2016			0.00
AAG	14040									Accrued Taxes-Payable to ASA		A	Liability	TRUE	FALSE		USD	09/30/2016			-2925872.32
AAG	14060									Accrued Taxes Payable To QX		A	Liability	TRUE	FALSE		USD	09/30/2016			-123402302.56
AAG	14200									Acc'd Taxes-WA Business		A	Liability	TRUE	FALSE		USD	09/30/2016			0.00
AAG	14210									Acc'd Taxes-WA Sales & Use		A	Liability	TRUE	FALSE		USD	09/30/2016			0.00
AAG	14404									Acc'd Tax - AK Property		A	Liability	TRUE	FALSE		USD	09/30/2016			0.00
AAG	15165									Currt Liab-Federal Income Tax		A	Liability	TRUE	TRUE		USD	09/30/2016			91999999.00
AAG	15600									Escheatment Liability		A	Liability	TRUE	FALSE		USD	09/30/2016			-1417.60
AAG	17750									LT Other Liabilities		A	Liability	TRUE	FALSE		USD	09/30/2016			-1570961.75
AAG	18000									Deferred Tax Liab - NC		A	Liability	TRUE	FALSE		USD	09/30/2016			675937.31
AAG	18010									Deferred Tax Liab - NC-Curr Yr		A	Liability	TRUE	FALSE		USD	09/30/2016			90470864.00
AAG	18950									Redeemable Preferred Par Value		A	Liability	TRUE	FALSE		USD	09/30/2016			-10.00
AAG	19050									Common Stock-Par Value		A	Equity	TRUE	FALSE		USD	09/30/2016			-1291123.69
AAG	19150									Common Stock-Paid In Capital		A	Equity	TRUE	TRUE		USD	09/30/2016			-103002618.14
AAG	19200									Treasury Stock $1 Par Value		A	Equity	TRUE	FALSE		USD	09/30/2016			58615.83
AAG	19210									Treasury Stock Paid In Capital		A	Equity	TRUE	FALSE		USD	09/30/2016			443509269.82
AAG	19300									Def Comp Orig Loan As Esop		A	Equity	TRUE	FALSE		USD	09/30/2016			10000000.00
AAG	19310									Def Comp Prin Repay AS ESOP		A	Equity	TRUE	FALSE		USD	09/30/2016			-10000000.00
AAG	19315									Accum OCI OSRP		A	Equity	TRUE	TRUE		USD	09/30/2016			6645635.11
AAG	19335									Unrealized Gain/Loss Mkt Sec		A	Equity	TRUE	TRUE		USD	09/30/2016			0.03
AAG	19338									Accum OCI - Int Rate Swap		A	Equity	TRUE	TRUE		USD	09/30/2016			0.00
AAG	19340									Tax Effect on OCI		A	Equity	TRUE	FALSE		USD	09/30/2016			-164656149.32
AAG	19345									Accum OCI- Retiree Medical		A	Equity	TRUE	TRUE		USD	09/30/2016			-38719568.75
AAG	19350									OCI-Pension		A	Equity	TRUE	TRUE		USD	09/30/2016			469617331.28
AAG	19360									Def Comp Restricted Stock_AAG		A	Equity	FALSE	FALSE		USD	09/30/2016			0.00
AAG	19400									Retained Earnings-Asa		A	Equity	TRUE	FALSE		USD	09/30/2016			-3994585387.74
AAG	19410									Retained Earnings-Aag		A	Equity	TRUE	TRUE		USD	09/30/2016			414127210.73
AAG	19420									Retained Earnings-Aag L		A	Equity	TRUE	FALSE		USD	09/30/2016			3215379.16
AAG	19430									Retained Earnings-Jet Am		A	Equity	TRUE	FALSE		USD	09/30/2016			10308000.00
AAG	19435									Retained Earnings-AMC		A	Equity	TRUE	FALSE		USD	09/30/2016			22710973.94
AAG	19440									Retained Earnings-Horizon		A	Equity	TRUE	FALSE		USD	09/30/2016			-38981338.00
AAG	19450									Retained Earnings-Aagf S		A	Equity	TRUE	FALSE		USD	09/30/2016			-45639.94
AAG	19455									Retained Earnings-AAI		A	Equity	TRUE	FALSE		USD	09/30/2016			-215178.00
AAG	19460									Common Dividends Accrued		A	Equity	TRUE	FALSE		USD	09/30/2016			7296722.45
AAG	19470									Preferred Divideds Accrued		A	Equity	TRUE	FALSE		USD	09/30/2016			20966896.57
AAG	19480									Retained Earnings Cpp Offset		A	Equity	TRUE	FALSE		USD	09/30/2016			1936000.00
ASA	01000									Cash - Main Concentration		A	Asset	TRUE	TRUE		USD	09/30/2016			-2740470.52
ASA	01001									Cash - Payroll		A	Asset	TRUE	TRUE		USD	09/30/2016			-53878971.82
ASA	01002									Cash - Accounts Payable		A	Asset	TRUE	TRUE		USD	09/30/2016			-23181776.06
ASA	01003									Cash - Workers Comp		A	Asset	TRUE	FALSE		USD	09/30/2016			-184720.01
ASA	01004									Cash - Refunds		A	Asset	TRUE	TRUE		USD	09/30/2016			-123413.61
ASA	01005									Cash - Vacations Depository		A	Asset	TRUE	FALSE		USD	09/30/2016			3000.00
ASA	01006									Cash - Citibank Wires		A	Asset	TRUE	FALSE		USD	09/30/2016			15001.00
ASA	01007									Cash-Credit Card Settlement		A	Asset	TRUE	FALSE		USD	09/30/2016			49999.99
ASA	01010									Refund A/P Checks Clearing		A	Asset	TRUE	TRUE		USD	09/30/2016			26453.17
ASA	01030									Petty Cash Funds		A	Asset	TRUE	FALSE		USD	09/30/2016			21483.87
ASA	01040									Change Funds		A	Asset	TRUE	FALSE		USD	09/30/2016			55065.00
ASA	01070									Mkt Sec less than 3 Mths		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	01200									Citibank Money Market		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	01290									Bank Of America Overdraft Recl		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	01300									Canada-Bank Of Montreal Cash		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	01305									Canada - Concentration		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	01310									Canada-Royal Bank Cash		A	Asset	FALSE	FALSE		USD	09/30/2016			-0.00
ASA	01315									Canada-Bank of NovaScotia		A	Asset	TRUE	TRUE		USD	09/30/2016			126418.47
ASA	01320									MX-Cash Disbursement HSBC		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	01321									Mexico-Cash Deposit HSBC		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	01322									Mexico-Cash Dep HSBC in USD		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	01330									MX-Cash Deposits-Santander Ser		A	Asset	TRUE	FALSE		USD	09/30/2016			63930.71
ASA	01335									BBVA Bancomer - MX - LTO		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	01400									MX-Cash Disbursement BANAMEX		A	Asset	TRUE	TRUE		USD	09/30/2016			512141.67
ASA	01401									MX- BANAMEX Payroll Acct		A	Asset	TRUE	FALSE		USD	09/30/2016			307.70
ASA	01402									Mexico-Cash Deposit BANAMEX		A	Asset	TRUE	FALSE		USD	09/30/2016			16776.72
ASA	01403									Mexico-Cash Dep BANAMEX in USD		A	Asset	TRUE	FALSE		USD	09/30/2016			44720.68
ASA	01404									Mexico-Station Refunds BANAMEX		A	Asset	TRUE	TRUE		USD	09/30/2016			1288.82
ASA	01410									Mexico-Station Refunds		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	01412									Costa Rica-Cash Dep SCOTIA Col		A	Asset	TRUE	TRUE		USD	09/30/2016			-14744.96
ASA	01413									Costa Rica-Cash Dep SCOTIA USD		A	Asset	TRUE	FALSE		USD	09/30/2016			37831.97
ASA	01420									Mexico- Petty Cash Funds		A	Asset	TRUE	FALSE		USD	09/30/2016			4926.16
ASA	01430									Mexico-Change Funds		A	Asset	TRUE	FALSE		USD	09/30/2016			1290.05
ASA	01900									USB Marketable Securities		A	Asset	TRUE	TRUE		USD	09/30/2016			1752033860.72
ASA	01905									USB Allowance for Chg in Value		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	02000									Notes Receivable - QX		A	Asset	TRUE	TRUE		USD	09/30/2016			52720648.44
ASA	02040									Intercompany Clearing AP Syste		A	Asset	TRUE	TRUE		USD	09/30/2016			130507676.31
ASA	02050									Receivable From AAG		A	Asset	TRUE	TRUE		USD	09/30/2016			2641531249.08
ASA	02070									Receivable from AAG - Taxes		A	Asset	TRUE	FALSE		USD	09/30/2016			2925873.32
ASA	02080									Receivable From McGee Air Serv		A	Asset	TRUE	TRUE		USD	09/30/2016			1514583.47
ASA	02085									Receivable Alpine Merger Corp		A	Asset	TRUE	TRUE		USD	09/30/2016			25104225.74
ASA	02100									Receivable from QX - Intercomp		A	Asset	FALSE	FALSE		USD	09/30/2016			-0.00
ASA	02120									Receivable from QX  - Interest		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02130									A/R-Qx Refunds Clearing Acct		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02161									Recv from QXA-Lost Bags		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	02163									Recv from QXA-Damaged Bags		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	02165									Recv from QXA-PAX Inter Trip		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	02167									Recv from QXA-PAX Denied Board		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	02169									Recv from QXA-Over/Short		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	02170									A/R - ASA		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02179									AS A/R Misc Revenue		A	Asset	FALSE	FALSE		USD	09/30/2016			-0.02
ASA	02200									Debit Memo Clearing		A	Asset	TRUE	FALSE		USD	09/30/2016			362.77
ASA	02205									DM Payment Clearing		A	Asset	TRUE	TRUE		USD	09/30/2016			-18336.79
ASA	02208									A/R - CRC Station Clearing		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	02209									A/R - BSP Costa Rica Net Remit		A	Asset	TRUE	TRUE		USD	09/30/2016			4383.26
ASA	02210									A/R - BSP Australia		A	Asset	TRUE	TRUE		USD	09/30/2016			194144.88
ASA	02220									A/R - BSP Germany		A	Asset	TRUE	TRUE		USD	09/30/2016			206247.48
ASA	02230									A/R - BSP New Zealand		A	Asset	TRUE	TRUE		USD	09/30/2016			41147.26
ASA	02240									A/R - BSP UK		A	Asset	TRUE	TRUE		USD	09/30/2016			304396.95
ASA	02250									A/R - BSP Net Remittance		A	Asset	TRUE	FALSE		USD	09/30/2016			325489.26
ASA	02260									A/R - General Traffic		A	Asset	TRUE	TRUE		USD	09/30/2016			9345402.98
ASA	02270									A/R - American Express		A	Asset	TRUE	FALSE		USD	09/30/2016			10219382.20
ASA	02275									AR American Express - TA ARC		A	Asset	TRUE	FALSE		USD	09/30/2016			4702614.17
ASA	02280									A/R - Diners Club		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02290									A/R - Discover Card		A	Asset	TRUE	FALSE		USD	09/30/2016			425655.74
ASA	02295									AR Discover - TA ARC		A	Asset	TRUE	FALSE		USD	09/30/2016			3487.21
ASA	02305									AR VISA/MC Suspense - TA		A	Asset	TRUE	FALSE		USD	09/30/2016			-3308625.28
ASA	02320									A/R - Visa/MC Suspense		A	Asset	TRUE	FALSE		USD	09/30/2016			31280151.30
ASA	02325									A/R - Credit Card Rebate		A	Asset	TRUE	FALSE		USD	09/30/2016			2989443.11
ASA	02330									A/R - ASP Sales-Net Remittance		A	Asset	TRUE	FALSE		USD	09/30/2016			3017391.55
ASA	02340									A/R - Interline -UATP		A	Asset	TRUE	TRUE		USD	09/30/2016			-732341.83
ASA	02350									A/R - Intline-Frt/Gldstrk(ACH)		A	Asset	TRUE	TRUE		USD	09/30/2016			-484.94
ASA	02360									A/R - Interline-Pax ACH		A	Asset	TRUE	TRUE		USD	09/30/2016			-9588556.36
ASA	02361									AR-Intrln ACH Clearing		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	02370									A/R - I'line IATA Pax,Frt,UATP		A	Asset	TRUE	TRUE		USD	09/30/2016			-1280665.61
ASA	02371									AR-Intrln IATA Clearing		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	02375									Interline Miscellaneous Receiv		A	Asset	TRUE	TRUE		USD	09/30/2016			298521.42
ASA	02400									A/R - MX T/A Credit Card Clrg		A	Asset	TRUE	FALSE		USD	09/30/2016			92297.76
ASA	02405									A/R - MX Debit/Credit Memo		A	Asset	TRUE	FALSE		USD	09/30/2016			21660.99
ASA	02410									A/R - MX Station Clearing		A	Asset	TRUE	TRUE		USD	09/30/2016			1117.34
ASA	02430									A/R - MX TA Amex		A	Asset	TRUE	FALSE		USD	09/30/2016			-17126.87
ASA	02450									A/R - MX BSP -  Net Remit		A	Asset	TRUE	TRUE		USD	09/30/2016			153793.31
ASA	02505									A/R-Cargo Credit Card Clearing		A	Asset	TRUE	FALSE		USD	09/30/2016			832084.18
ASA	02510									A/R - CAD Loc Cc Clearing		A	Asset	TRUE	FALSE		USD	09/30/2016			3193.09
ASA	02515									A/R - Misc Cc Clearing		A	Asset	TRUE	TRUE		USD	09/30/2016			-854.08
ASA	02520									A/R - Location Cc Clearing		A	Asset	TRUE	TRUE		USD	09/30/2016			6065.16
ASA	02530									A/R-Transport Cr Recvbl-Padre		A	Asset	TRUE	FALSE		USD	09/30/2016			119710.35
ASA	02550									A/R - TA Sales-Receivable-Est		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	02560									A/R - Fed Alaska		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02570									A/R - Reclaim Commission - T/A		A	Asset	TRUE	FALSE		USD	09/30/2016			0.49
ASA	02580									A/R - Debit Memos Receivable		A	Asset	TRUE	FALSE		USD	09/30/2016			317145.20
ASA	02582									AR-DM Location Chargeback		A	Asset	TRUE	FALSE		USD	09/30/2016			173939.50
ASA	02590									A/R - Other Airline Reissues		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	02610									A/R - AS Rejects-Interline Pay		A	Asset	FALSE	FALSE		USD	09/30/2016			-0.48
ASA	02640									A/R - Other Airline Refunds		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	02700									A/R - Employees		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02705									A/R Employee Uniforms		A	Asset	TRUE	TRUE		USD	09/30/2016			3285.85
ASA	02710									A/R - Service Sales		A	Asset	TRUE	TRUE		USD	09/30/2016			9415908.67
ASA	02717									Gift Card Receivable Clearing		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02720									A/R - Checks Returned		A	Asset	TRUE	FALSE		USD	09/30/2016			2215.80
ASA	02730									BSP Germany TA CC Clearing		A	Asset	TRUE	FALSE		USD	09/30/2016			46544.06
ASA	02740									BSP UK TA CC Clearing		A	Asset	TRUE	FALSE		USD	09/30/2016			85280.32
ASA	02750									Fuel Hedge Receivable		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	02752									A/R- Fuel Sales Clearing		A	Asset	TRUE	FALSE		USD	09/30/2016			85016.23
ASA	02753									Misc Rec - Airport Ops&Other		A	Asset	TRUE	TRUE		USD	09/30/2016			4761203.09
ASA	02755									Due from Insurance-Flt261		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02757									A/R - GDS Other Airlines Rec		A	Asset	TRUE	TRUE		USD	09/30/2016			7890.36
ASA	02760									A/R - Mileage Plan Revenue		A	Asset	TRUE	TRUE		USD	09/30/2016			63006536.88
ASA	02770									A/R - Customer Work In Process		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02780									A/R - Accrued Interest		A	Asset	TRUE	TRUE		USD	09/30/2016			0.00
ASA	02790									A/R - QX Returned Checks		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02800									A/R - Employee Advances		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02810									A/R - MX  Employee  Advances		A	Asset	TRUE	TRUE		USD	09/30/2016			177922.68
ASA	02820									A/R - Travel Advances		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	02840									A/R - TA - Misc Chg Clearing		A	Asset	TRUE	TRUE		USD	09/30/2016			170943.13
ASA	02850									A/R - MX IVA - Refundable		A	Asset	TRUE	TRUE		USD	09/30/2016			338501.41
ASA	02851									MX IDE Tax Refundable		A	Asset	TRUE	FALSE		USD	09/30/2016			-0.00
ASA	02852									A/R - MX IVA  Paid on Fuel		A	Asset	TRUE	FALSE		USD	09/30/2016			4278764.95
ASA	02853									A/R - MX IVA ¿ Pending Fuel pm		A	Asset	TRUE	FALSE		USD	09/30/2016			45217.88
ASA	02854									A/R - MX IVA Filed for Refund		A	Asset	TRUE	FALSE		USD	09/30/2016			2698441.23
ASA	02860									A/R - MX 1996 Payroll Refund		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02870									A/R - Cad GST Tax Refundable		A	Asset	TRUE	TRUE		USD	09/30/2016			19734.64
ASA	02875									A/R - BC HST Receivable		A	Asset	TRUE	TRUE		USD	09/30/2016			21463.21
ASA	02880									Due From State		A	Asset	TRUE	FALSE		USD	09/30/2016			30150925.61
ASA	02881									Misc Tax Receivable		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02882									A/R Federal Fuel Tax		A	Asset	TRUE	TRUE		USD	09/30/2016			2068534.18
ASA	02883									720 Tax Receivable		A	Asset	TRUE	FALSE		USD	09/30/2016			916615.31
ASA	02884									Texas State Jet Fuel Tax Recv		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	02885									Due From Federal Government		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	02900									A/R - Government		A	Asset	TRUE	TRUE		USD	09/30/2016			345035.13
ASA	02910									A/R - IAM Union Business		A	Asset	TRUE	FALSE		USD	09/30/2016			59291.64
ASA	02914									A/R State Tax Refunds Mt,Ut		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02920									A/R Credit Union Wages		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02930									Allowance - Alaska Accts		A	Asset	TRUE	FALSE		USD	09/30/2016			1163.86
ASA	02940									Allowance - NSF Checks		A	Asset	TRUE	FALSE		USD	09/30/2016			3410.68
ASA	02950									Allowance - Ticket Fraud		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	02970									Allowance - Travel Agents		A	Asset	TRUE	FALSE		USD	09/30/2016			-11064.25
ASA	02980									Allowance - Credit Card Fraud		A	Asset	TRUE	FALSE		USD	09/30/2016			406110.06
ASA	02990									Allowance-Uncollectable Accts		A	Asset	TRUE	FALSE		USD	09/30/2016			-964802.62
ASA	03000									Inventory-Surplus Consignment		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03010									Inventory- Airframe		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03020									Inventory-Repairable Airframe		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03040									Inventory-Rep Parts Engine		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03070									Inventory-Repairable Oth Fe		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03075									Inventory-Repairable at Vendor		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03077									Inventory Repairables - 400's		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03078									Inventory Repairables - 800's		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03079									Inventory Repairables - 700's		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03081									Inventory Repairables - 900's		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03101									737-200 Seat Cover Inventory		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03104									737-400 Seat Cover Inventory		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03108									MD80 Seat Cover Inventory		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03150									Expendable Spares Inventory		A	Asset	TRUE	TRUE		USD	09/30/2016			47601208.94
ASA	03151									Expendable Inv Non Stock Loc		A	Asset	TRUE	FALSE		USD	09/30/2016			686240.02
ASA	03500									Inventory-Fuel-Aviation		A	Asset	TRUE	FALSE		USD	09/30/2016			10528049.59
ASA	03510									Inventory-Matl & Misc Supply		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03525									Inventory-Glycol		A	Asset	TRUE	TRUE		USD	09/30/2016			484969.06
ASA	03535									Workflow One Inventory		A	Asset	TRUE	TRUE		USD	09/30/2016			1298138.34
ASA	03555									Picnic Pack Inventory		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03560									Food and Beverage Inventory		A	Asset	TRUE	FALSE		USD	09/30/2016			651607.39
ASA	03575									Uniforms Inventory		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	03640									Company Store Inv - Seatac		A	Asset	TRUE	TRUE		USD	09/30/2016			460211.00
ASA	03641									Company Store Inv-Lynnwood		A	Asset	TRUE	TRUE		USD	09/30/2016			-882.39
ASA	03910									Obsol Resrv; Exp-737-400		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03930									Obsol Resrv; Exp-New Gen		A	Asset	FALSE	FALSE		USD	09/30/2016			-0.00
ASA	03950									Obsol Resrv; Exp Misc Fleet		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03960									Obsol Resrv; Rep 737-200		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03965									Obsol Resrv Expendables		A	Asset	TRUE	FALSE		USD	09/30/2016			-23012834.99
ASA	03970									Obsol Resrv; Rep 737-400		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03980									Obsol Resrv; Rep Next Gen		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	03990									Obsol Resrv; Rep Misc Fleet		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	04000									Ppd Travel Agency Commission		A	Asset	TRUE	TRUE		USD	09/30/2016			2856755.78
ASA	04010									Ppd  Credit Card Commission		A	Asset	TRUE	TRUE		USD	09/30/2016			9276683.31
ASA	04100									Ppd  Fuel - Arco		A	Asset	TRUE	TRUE		USD	09/30/2016			32149550.07
ASA	04120									Ppd Fuel - World Fuel Svc		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	04130									Ppd Fuel - Global Fuel		A	Asset	TRUE	TRUE		USD	09/30/2016			4646400.00
ASA	04140									Ppd  Fuel - Flint Hills		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	04150									Ppd  Fuel Exp -Tesoro		A	Asset	TRUE	TRUE		USD	09/30/2016			17615039.30
ASA	04160									Ppd  Fuel - Shell		A	Asset	TRUE	TRUE		USD	09/30/2016			19892121.98
ASA	04170									Ppd  Fuel - Chevron		A	Asset	TRUE	TRUE		USD	09/30/2016			2253091.67
ASA	04175									PPD Fuel VALERO		A	Asset	TRUE	TRUE		USD	09/30/2016			644339.39
ASA	04180									PpdFuel - Exxon/Mobil		A	Asset	TRUE	TRUE		USD	09/30/2016			521064.74
ASA	04182									PPD Fuel EPIC Aviation		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	04183									PPD Fuel AVFUEL		A	Asset	TRUE	TRUE		USD	09/30/2016			113616.92
ASA	04185									Fuel Hedge-Fair Mkt Value Cap		A	Asset	TRUE	TRUE		USD	09/30/2016			11714829.23
ASA	04186									Fuel Hdg-Fair Mkt Value Swap		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	04190									PpdFuel Conoco/Phillips		A	Asset	TRUE	TRUE		USD	09/30/2016			723342.04
ASA	04193									PpdFuel Frontier Alaska		A	Asset	TRUE	FALSE		USD	09/30/2016			0.00
ASA	04200									Ppd  Insurance - Brokerage		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
ASA	04210									Ppd  Insurance - Fidel/Fiduc		A	Asset	FALSE	FALSE		USD	09/30/2016			0.00
